CoffeeType,CafeMood,SeatLocation,Satisfaction
Espresso,Quiet,Window,80.48164894770545
Latte,Crowded,Window,72.3229448796458
Espresso,Music,Terrace,73.1755627545099
Espresso,Crowded,Center,57.59899564979757
Latte,Crowded,Window,67.47151222979454
Latte,Quiet,Terrace,77.24619078466164
Espresso,Crowded,Terrace,58.87250065139922
Americano,Quiet,Terrace,70.08480194332473
Espresso,Crowded,Center,65.24887019244366
Espresso,Music,Terrace,78.89462171942981
Espresso,Crowded,Terrace,60.665283125217435
Espresso,Quiet,Terrace,64.54090871874848
Latte,Quiet,Terrace,84.2839866558199
Espresso,Music,Window,64.82049590312984
Americano,Crowded,Window,63.08367189272791
Latte,Crowded,Terrace,74.47497827095847
Americano,Music,Center,71.1734519272322
Americano,Crowded,Window,65.56412412333745
Americano,Crowded,Terrace,67.34175625551914
Americano,Quiet,Window,75.9529558471422
Latte,Crowded,Window,83.44773828063292
Latte,Crowded,Center,67.62097632889302
Americano,Music,Terrace,68.43293731338792
Americano,Music,Terrace,70.72483413006216
Latte,Quiet,Center,77.93619193404946
Latte,Crowded,Center,73.9782182590216
Latte,Crowded,Terrace,62.04231106734293
Espresso,Crowded,Terrace,66.13012933417001
Espresso,Quiet,Center,69.29357279180016
Espresso,Quiet,Window,78.88411502212801
Americano,Music,Window,74.76178144421478
Espresso,Quiet,Center,74.5934722885889
Americano,Crowded,Window,67.04299093959084
Americano,Crowded,Center,68.19011298710838
Espresso,Quiet,Window,83.31884894724125
Americano,Crowded,Window,65.30381784272447
Espresso,Crowded,Terrace,63.46402762419437
Espresso,Quiet,Terrace,70.56891357123438
Latte,Quiet,Window,90.96490897129732
Espresso,Crowded,Window,63.83029200494974
Latte,Crowded,Terrace,68.33653899348077
Espresso,Crowded,Terrace,61.10861543017931
Espresso,Music,Terrace,69.32141308840885
Latte,Music,Center,73.03247491163694
Latte,Music,Window,78.15775005456652
Espresso,Quiet,Terrace,73.78600927548538
Americano,Music,Window,74.42263295038134
Latte,Quiet,Center,84.15854288487924
Americano,Quiet,Center,73.40322461092612
Americano,Music,Terrace,71.97691747261206
Americano,Music,Center,73.35530874371132
Latte,Music,Window,91.22403303005282
Americano,Crowded,Terrace,63.06199044820564
Latte,Music,Window,89.61812206072639
Americano,Crowded,Window,63.08213416027731
Espresso,Quiet,Center,73.14485216115219
Espresso,Crowded,Center,61.303068534109016
Latte,Music,Center,72.92364531739038
Espresso,Quiet,Center,75.49546190929995
Espresso,Quiet,Center,74.99948316855503
Americano,Quiet,Terrace,73.59375933088246
Latte,Crowded,Window,63.53102997982469
Americano,Music,Window,72.89976267686242
Americano,Quiet,Window,78.69602055478408
Americano,Quiet,Window,78.00906805597339
Americano,Quiet,Center,78.77967640895827
Americano,Crowded,Window,78.66771314714995
Americano,Crowded,Terrace,69.06937418625404
Americano,Music,Terrace,75.83884183878813
Latte,Crowded,Window,74.74090865689574
Espresso,Quiet,Window,80.86217891196121
Americano,Music,Terrace,75.65700005480164
Americano,Quiet,Terrace,79.74552838482163
Americano,Quiet,Center,84.0447841451008
Americano,Crowded,Terrace,68.13492150609675
Americano,Music,Center,70.6451886891613
Americano,Crowded,Center,68.23144674000959
Espresso,Crowded,Center,68.68121158559632
Espresso,Music,Center,71.5071337851304
Americano,Quiet,Center,80.30319289410706
Espresso,Quiet,Window,71.65512586341657
Latte,Music,Terrace,73.65957887297756
Americano,Quiet,Center,72.27481192326454
Latte,Music,Terrace,71.66308849243832
Latte,Music,Terrace,78.55149789316711
Americano,Crowded,Center,63.84987307075042
Espresso,Music,Window,78.15105676822189
Latte,Crowded,Center,64.54387818901264
Americano,Quiet,Window,85.77461338318301
Latte,Quiet,Terrace,76.09399832381226
Latte,Quiet,Window,76.80884574425825
Latte,Quiet,Window,78.87674336174464
Latte,Crowded,Window,83.75640042867877
Espresso,Quiet,Terrace,72.79957431313498
Latte,Music,Terrace,80.64717755826901
Latte,Music,Window,79.0805413113599
Latte,Music,Window,79.54960683409897
Espresso,Crowded,Center,60.47059973382853
Latte,Quiet,Window,83.25371979427634
Latte,Quiet,Center,82.47299945940857
Espresso,Quiet,Window,83.39152754911447
Espresso,Crowded,Center,53.627655625702445
Espresso,Music,Terrace,78.05410154696251
Latte,Music,Window,82.63980213513237
Espresso,Quiet,Window,73.16118608673487
Espresso,Music,Window,69.26138258520335
Latte,Music,Window,85.21837822684375
Espresso,Crowded,Center,64.1448926909427
Latte,Crowded,Window,66.32967440650536
Americano,Crowded,Terrace,68.81534801668654
Espresso,Crowded,Terrace,69.72185767737342
Americano,Quiet,Window,82.28932329394233
Latte,Crowded,Terrace,68.86571065230923
Espresso,Music,Window,65.28996347973322
Latte,Quiet,Window,81.37013429509256
Americano,Music,Terrace,89.26992563043802
Latte,Music,Window,72.27500525701501
Espresso,Music,Terrace,65.78632451756539
Espresso,Crowded,Center,64.96020944866298
Americano,Crowded,Window,68.37737376203158
